FL_DATE,UNIQUE_CARRIER,AIRLINE_ID,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,DISTANCE
2015-01-01,EV,20366,EV,5451,11986,1198603,31986,GRR,13487,1348702,31650,MSP,1000,0949,-11.00,20.00,1009,1030,4.00,1043,1034,-9.00,0.00,,0.00,408.00
2015-01-01,EV,20366,EV,5452,10397,1039705,30397,ATL,10980,1098002,30980,CHA,2035,2031,-4.00,14.00,2045,2107,4.00,2120,2111,-9.00,0.00,,0.00,106.00
2015-01-01,EV,20366,EV,5459,12953,1295302,31703,LGA,14685,1468502,34685,SAV,1350,1345,-5.00,21.00,1406,1556,4.00,1617,1600,-17.00,0.00,,0.00,722.00
2015-01-01,EV,20366,EV,5464,10397,1039705,30397,ATL,13367,1336703,33367,MLI,2057,2055,-2.00,23.00,2118,2149,3.00,2154,2152,-2.00,0.00,,0.00,633.00
2015-01-01,EV,20366,EV,5466,12266,1226603,31453,IAH,11433,1143302,31295,DTW,0720,0710,-10.00,13.00,0723,1031,6.00,1107,1037,-30.00,0.00,,0.00,1075.00
2015-01-01,EV,20366,EV,5477,11042,1104203,30647,CLE,10397,1039705,30397,ATL,0810,0803,-7.00,8.00,0811,0935,7.00,1013,0942,-31.00,0.00,,0.00,554.00
2015-01-01,EV,20366,EV,5484,14730,1473003,33044,SDF,11433,1143302,31295,DTW,0955,0950,-5.00,11.00,1001,1109,7.00,1118,1116,-2.00,0.00,,0.00,306.00
2015-01-01,EV,20366,EV,5485,10397,1039705,30397,ATL,11298,1129803,30194,DFW,1340,1338,-2.00,14.00,1352,1450,20.00,1507,1510,3.00,0.00,,0.00,731.00
2015-01-01,EV,20366,EV,5487,11433,1143302,31295,DTW,10599,1059904,30599,BHM,1550,1547,-3.00,17.00,1604,1640,3.00,1656,1643,-13.00,0.00,,0.00,625.00
2015-01-01,EV,20366,EV,5488,10185,1018502,30185,AEX,10397,1039705,30397,ATL,1106,1056,-10.00,9.00,1105,1319,6.00,1341,1325,-16.00,0.00,,0.00,500.00
2015-01-01,EV,20366,EV,5489,10397,1039705,30397,ATL,11953,1195302,31953,GNV,1055,1049,-6.00,13.00,1102,1147,3.00,1209,1150,-19.00,0.00,,0.00,300.00
2015-01-01,EV,20366,EV,5489,11953,1195302,31953,GNV,10397,1039705,30397,ATL,1234,1227,-7.00,10.00,1237,1333,5.00,1349,1338,-11.00,0.00,,0.00,300.00
